Haku;Tekijät;Vuosi;Otsikko;Muoto;Linkki;Tiedonkeruun muoto;Tutkimusasetelma;Huomioita tiedonkeruun muodoista;Muiden kehittämät kysymysmittarit;Toteutusmaa;Kohderyhmä;Kohdepopulaatio;Keräysajankohta;Otoskoko;Otantamenetelmä;Yhteydenottotapa;Vastausmuistutusten määrä
4;Hertteli 2015;2015;Fyysisen väkivallan kohtaaminen ensihoitotyössä;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-201502232487;Kysely;Määrällinen;Webropol;0;Suomi;Ensihoito;Etelä-Pohjanmaan ensihoito;2014;67;Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;0
5;Huotari 2019;2019;Naisten ja miesten tasa-arvo poliisissa 2018;Organisaatioraportti;https://urn.fi/URN:ISBN:978-951-815-360-6;Kysely;Määrällinen;;1;Suomi;Poliisi;Poliisit;Kevät 2018;769;Muu;Muu;1
2;Huttunen & Rinkinen 2019;2019;Pelastushenkilöstön kokema seksuaalinen ahdistelu työtehtävillä ja työpaikoilla. Tutkimus toteutettuna Rescuebase -applikaatiolla;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-202002102224;Kysely;Määrällinen;Rescuebase-sovellus;0;Suomi;Pelastusala;Suomalaiset pelastusalan työntekijät;6/2019-10/2019;114;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
4;Immonen & Liuski 2019;2019;Kyselytutkimus Kainuun soten ensihoitajien kokemista uhka- ja väkivaltatilanteista;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-202002031954;Kysely;Määrällinen;;0;Suomi;Ensihoito;Kainuun soten ensihoitajat;5/2019-6/2019;33;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);0
4;Ingberg 2021;2021;Oulu-Koillismaan pelastuslaitoksen ensihoitajien raportoimat uhka- ja väkivaltatilanteet;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2021060213422;Rekisteri;Määrällinen;HaiPro;;Suomi;Ensihoito;Oulu-Koillismaan ensihoito;5/2018-2/2021;100;Kiintiöotanta (quota sample);Muu;0
4;Inha ym. 2018;2018;Jokilaaksojen pelastuslaitoksen ensihoitajien kokemuksia uhka- ja väkivaltatilanteista;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2018060813198;Kysely;Laadullinen;Laadullinen kysely;0;Suomi;Ensihoito;Jokilaaksojen ensihoito;4/2018-5/2018;6;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);2
6;Jansson 2016;2016;Agents for Change? Gender Equality Efforts in the Swedish Rescue Services;Kirjan luku;https://www.taylorfrancis.com/chapters/edit/10.4324/9781315594149-15/agents-change-gender-equality-efforts-swedish-rescue-services-swedish-rescue-services-ulrika-jansson;Haastattelu, havainto;Laadullinen;Havaintoja ja haastatteluja;;Ruotsi;Pelastusala;Ruotsalaiset pelastusalan kehittäjät;Ei tietoa;;Harkinnanvarainen otanta (convenience sample);;Ei tietoa
6;Johnsen ym. 2020;2020;Characteristics of aggressive incidents in emergency primary health care described by the Staff Observation Aggression Scale – Revised Emergency (SOAS-RE);Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1186/s12913-019-4856-9;Kysely;Määrällinen;Tapahtuman jälkeinen kyselytäyttö;1;Norja;Ensihoito;Norjalaiset terveysalan amattilaiset;1/2016-12/2016;320;Muu;Kasvokkain;Ei tietoa
3;Jäntti & Nordquist 2022;2022;"Ensihoitajien kohtaama 
työpaikkaväkivalta";Vertaisarvioitu tutkimusartikkeli;https://www.julkari.fi/handle/10024/145559;Kysely;Määrällinen;;1;Suomi;Ensihoito;Suomalaiset ensihoitajat;1/2021-2/2021;314;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;1
5;Keskinen 2011;2011;Troublesome Differences - Dealing with Gendered Violence, Ethnicity, and 'Race' in the Finnish Welfare State;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1080/14043858.2011.622075;Haastattelu;Laadullinen;;0;Suomi;Poliisi;Poliisit, sosiaalityöntekijät, asunnottomuustyöntekijät ja järjestötoimijat;2006-2008;49;Harkinnanvarainen otanta (convenience sample);;
2;Kettunen 2022;2022;Kohti yhdenvertaisempaa pelastusalaa - yhdenvertaisuussuunnitelma Pohjois-Karjalan pelastuslaitokselle;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2022111823100;Kirjallisuuskatsaus, kysely;Monimenetelmällinen;Systemaattinen kirjallisuuskatsaus ja kysely;1;Suomi;Pelastusala;Pohjois-Karjalan pelastuslaitoksen henkilöstö;20/2021;174;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;Useita kertoja
4;Kiviniemi ym. 2021;2021;Väkivalta- ja uhkatilanteet ensihoidossa: kyselytutkimus Etelä-Pohjanmaan sairaanhoitopiirin ensihoitajille;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2021112421543;Kysely;Määrällinen;Webropol;0;Suomi;Ensihoito;Etelä-Pohjanmaan ensihoito;5/2021;84;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);1
6;Klosiewicz ym. 2019;2019;Emergency Healthcare Providers Perception of Workplace Dangers in the Polish Emergency Medical Service: A Multi-Centre Survey Study;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.5603/DEMJ.a2019.0030;Kysely;Määrällinen;;0;Puola;Ensihoito;Puolalaiset ensihoitajat ja sairaanhoitajat;Ei tietoa;572;Ei tietoa;;Ei tietoa
6;Knor ym. 2020;2020;Qualitative Research of Violent Incidents Toward Young Paramedics in the Czech Republic;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.5811/westjem.2019.10.43919;Haastattelu;Laadullinen;;0;Tsekki;Ensihoito;Tsekkiläiset ensihoitajat;Ei tietoa;20;Ei tietoa;;Ei tietoa
5;Koivunen ym. 2018;2018;Sukupuolten tasa-arvo ja syrjintä poliisiorganisaatiossa;Vertaisarvioitu tutkimusartikkeli;https://journal.fi/hallinnontutkimus/article/view/98204;Kysely;Määrällinen;Poliisin henkilöstöbarometri;1;Suomi;Poliisi;Poliisihallinnon työntekijät;"2008; 2010; 2012";"6871; 7350; 7032";Harkinnanvarainen otanta (convenience sample);;
4;Kononen ym. 2014;2014;Ensihoitohenkilöstön työssä kokema väkivalta ja siitä selviytyminen;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-201501111165;Kysely, haastattelu;Laadullinen;Laadullinen kysely ja teemahaastattelu;0;Suomi;Ensihoito;PHSOTEY ensihoitokeskuksen ensihoitajat;4/2014-9/2014;"3;4";Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);0
6;Kowalczuk ym. 2017;2017;Patient aggression towards different professional groups of healthcare workers;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.5604/12321966.1228395;Kysely;Määrällinen;;1;Puola;Ensihoito;Puolalaiset terveysalan ammattilaiset;1/2008-12/2009;1624;Ei tietoa;;Ei tietoa
4;Köykkä 2016;2016;Lainsuojaton ensihoitaja : 9Lives konsernin ensihoitajien kokemat uhka- ja väkivaltatilanteet turvallisuusjohtamisen näkökulmasta;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2016061112741;Rekisteri;Laadullinen;9Lives Oy:n IMS-järjestelmä;;Suomi;Ensihoito;Ensihoito;2013-2014;35;Kiintiöotanta (quota sample);Muu;0
5;Leino ym. 2011a;2011;Työssä kohdattu väkivalta ja hyvinvointi poliisin ammatissa;Vertaisarvioitu tutkimusartikkeli;https://journal.fi/sla/article/view/4853;Kysely, haastattelu;Monimenetelmällinen;Haastatteluja ja postikysely;0;Suomi;Poliisi;Poliisit;2008;"9; 1737";Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;2
5;Leino ym. 2011b;2011;Violence and psychological distress among police officers and security guards;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1093/occmed/kqr080;Kysely;Määrällinen;;0;Suomi;"Poliisi; Järjestyksenvalvojat";Poliisit ja järjestyksenvalvojat;2003;1993;Satunnaistettu otanta (random sample);Postitse;1
5;Leino ym. 2011c;2011;Work-related Violence against Security Guards - Who is Most at Risk?;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.2486/indhealth.MS1208;Kysely;Määrällinen;;0;Suomi;Järjestyksenvalvojat;Järjestyksenvalvojat;2003;1010;Satunnaistettu otanta (random sample);Postitse;1
5;Leino ym. 2011d;2011;Work-related violence, debriefing and increased alcohol consumption among police officers;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1350/ijps.2011.13.2.229;Kysely;Määrällinen;;0;Suomi;Poliisi;Poliisit;2003;1734;Satunnaistettu otanta (random sample);Postitse;1
4;Leppänen & Ritala 2022;2022;Uhka ja väkivalta ensihoitajan työssä;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-202204054478;Kysely;Määrällinen;Webropol;0;Suomi;Ensihoito;Pirkanmaan ensihoito ja Metropolian ensihoitaja opiskelijat;2021;"6;13;0";Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);2
4;Leppänen 2016;2016;Väkivalta- ja uhkatilanteet ensihoitajien kokemina;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2016061312836;Rekisteri, haastattelu;Monimenetelmällinen;Rekisteri ja teemahaastattelu;1;Suomi;Ensihoito;Pirkanmaan ensihoito;"1/2012-3/2015;12/2015-1/2016";"48;6";Harkinnanvarainen otanta (convenience sample);Sähköpostitse;0
4;Leppänen 2017;2017;Ensihoidon työturvallisuus uhka- ja väkivaltatilanteiden näkökulmasta ensihoitajien kokemana Pirkanmaalla;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2017102316250;Kysely;Määrällinen;E-lomake;1;Suomi;Ensihoito;Pirkanmaan ensihoito;12/2016-1/2017;66;Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;2
6;Leuchter ym. 2020;2020;Violence Against Emergency Service Workers—an Analysis Conducted During Deployment in Rural and Urban Emergency Service Districts;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.3238/arztebl.2020.0460;Kysely;Määrällinen;;0;Saksa;Ensihoito;Saksalaiset ambulanssityöntekijät;2009;173;Ei tietoa;;Ei tietoa
2;Luoma 2020;2020;Päätöksenteon ilmiöt yhdenvertaisuuskokemuksissa pelastusalalla Suomessa;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2020052413252;Kysely;Määrällinen;;0;Suomi;"Pelastusala; Ensihoito";Pelastusala ja ensihoito;;337;Harkinnanvarainen otanta (convenience sample);Muun organisaation kautta (esim. liitto);0
6;Maguire ym. 2018a;2018;International Survey of Violence Against EMS Personnel: Physical Violence Report;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1017/S1049023X18000870;Kysely;Määrällinen;;1;N/A;Ensihoito;Maailmanlaajuisesti ensihoitotyöntekijät;;1778;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
6;Maguire ym. 2018b;2018;Preventing EMS workplace violence: A mixed-methods analysis of insights from assaulted medics;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1016/j.injury.2018.05.007;Kysely;Laadullinen;Laadullinen kysely;1;N/A;Ensihoito;Maailmanlaajuisesti ensihoitotyöntekijät;;1778;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
4;Miettinen ym. 2022;2022;Ensihoitajaopiskelijoiden kokemukset väkivaltatilanteisiin perehdyttämisestä ensihoidon harjoitteluissa;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2022113025252;Haastattelu;Laadullinen;Teemahaastattelu;0;Suomi;Ensihoito;LAB-ammattikorkeakoulun ensihoitajaopiskelijat;;10;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;0
6;Newbury-Birch ym. 2017;2017;A survey of paramedics and alcohol related work: ascertaining fear of, and level of assault amongst the North East Ambulance Service;Vertaisarvioitu tutkimusartikkeli;https://core.ac.uk/reader/322320550;Kysely;Monimenetelmällinen;Paperinen ja sähköinen, myös avokysymysten analysointi;0;Englanti;Ensihoito;Englantilaiset ensihoidon ammattilaiset;;358;Harkinnanvarainen otanta (convenience sample);Kasvokkain;Ei tietoa
3;Nordquist 2023;2023;Kriittiset tilanteet, väkivalta ja niihin liittyvä stressi ensihoitajien työssä;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.54332/krim.125185;Kysely;Määrällinen;EMS Critical Incident Stress-kysely;1;Suomi;Ensihoito;Suomalaiset ensihoitajat;;436;Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;2
5;Paasonen & Vainio 2022;2022;Vankilaturvallisuus ja -väkivalta - vankilan henkilöstön kokema fyysinen ja henkinen väkivalta;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.54332/krim.110816;Kysely;Määrällinen;;0;Suomi;Vankilahenkilöstö;Vankilahenkilöstö;;537;Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;Ei tietoa
4;Paavonen 2023;2023;Erikoissairaanhoidon organisaation arvojen ilmentyminen käytännön harjoittelussa: terveysalan opiskelijoiden näkökulma;Opinnäyte;http://urn.fi/urn:nbn:fi:uef-20231263;Kysely;Laadullinen;Laadullinen kysely, opiskelijaohjauksen laatukysely;;Suomi;Ensihoito;Terveysalan opiskelijat;;667;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
3;Pekurinen ym. 2017;2017;Patient Aggression and the Wellbeing of Nurses: A Cross-Sectional Survey Study in Psychiatric and Non-Psychiatric Settings;Vertaisarvioitu tutkimusartikkeli;https://dx.doi.org/10.3390/ijerph14101245;Kysely;Määrällinen;;1;Suomi;Ensihoito;Suomalaiset ensihoitajat;;295;Harkinnanvarainen otanta (convenience sample);;0
6;Petzäll ym. 2011;2011;Threats and violence in the Swedish pre-hospital emergency care;Vertaisarvioitu tutkimusartikkeli;http://dx.doi.org/10.1016/j.ienj.2010.01.004;Kysely;Määrällinen;;0;Ruotsi;Ensihoito;Ruotsalaiset ambulanssityöntekijät;;134;Muu;Kasvokkain;1
4;Rajamäki 2019;2019;Ensihoitajiin kohdistuvat uhka- ja väkivaltatilanteet Keski-Uudenmaan pelastuslaitoksella;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2019111221015;Kysely;Määrällinen;Metropolian e-lomake;1;Suomi;Ensihoito;Keski-Uudenmaan ensihoito;;65;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;2
2;Saari 2013;2013;"""Se kuuluu palokuntakulttuuriin"" - katsaus Länsi-Uudenmaan pelastuslaitoksen tasa-arvotilanteeseen";Opinnäyte;;Haastattelu;Laadullinen;Teemahaastattelu;0;Suomi;Pelastusala;Länsi-Uudenmaan pelastusala;;6;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;0
6;Savoy ym. 2021;2021;Self-Reported Violence Experienced by Swiss Prehospital Emergency Care Providers;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1155/2021/9966950;Kysely;Määrällinen;;0;Sveitsi;Ensihoito;Sveitsiläiset ensihoidon ammattilaiset;;273;Lumipallo-otanta (snowball sample);Organisaatiojohdon kautta;Ei tietoa
6;Schablon ym. 2022;2022;Risk of Burnout among Emergency Department Staff as a Result of Violence and Aggression from Patients and Their Relatives;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.3390/ijerph19094945;Kysely;Määrällinen;;1;Saksa;Ensihoito;Saksalaiset terveysalan ammattilaiset;;349;Lumipallo-otanta (snowball sample);Sähköpostitse;Ei tietoa
6;Shkatula ym. 2019;2019;Emergency Medicine: Problems of Violence and Safety at Work;Vertaisarvioitu tutkimusartikkeli;"https://doi.org/10.21272/eumj.2019;7(4):351-357";Kysely;Määrällinen;;1;Ukraina;Ensihoito;Ukrainalaiset ensihoidon ammattilaiset;;127;Harkinnanvarainen otanta (convenience sample);;Ei tietoa
1;Sisäministeriö 2021;2021;Pelastusalan tasa-arvon ja yhdenvertaisuuden toimintaohjelma. Tasa-arvoinen ja yhdenvertainen pelastustoimi;Organisaatioraportti;http://urn.fi/URN:ISBN:978-952-324-611-9;Kysely, rekisteri;Määrällinen;Useampi kysely ja rekisteritutkimus;0;Suomi;Pelastusala;Suomen pelastusalan toimijat, sopimuspalokuntalaiset, organisaatiot ja järjestöt;;Ei tietoa;Harkinnanvarainen otanta (convenience sample);;Ei tietoa
4;Sjöström & Salminen 2023;2023;Varför väljer förstavårdare att sluta arbeta i ambulansen?;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-202304286916;Kysely;Laadullinen;Laadullinen kysely;0;Suomi;Ensihoito;Arcada-ammattikorkeakoulun ensihoitaja-alumnit;;22;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);Ei tietoa
6;Sommovigo & Setti 2022;2022;Italian Version of the Victim Incivility Scale: First Psychometric Evaluations in a Sample of Emergency Workers;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.4473/TPM29.3.6;Kysely;Määrällinen;;1;Italia;"Pelastusala; Ensihoito";Italialaiset pelastajat ja ensihoitajat;;304;Harkinnanvarainen otanta (convenience sample);Kasvokkain;Ei tietoa
6;Stendahl ym. 2023;2023;“You have to live with some risk, it’s part of the profession”. Specialist ambulance nurses’ perceptions of assignments involving ongoing lethal violence;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1186/s13049-023-01082-0;Haastattelu;Laadullinen;;0;Ruotsi;Ensihoito;Ruotsalaiset ambulanssityöntekijät;;16;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
4;Sutinen 2010;2010;Väkivaltaisen potilaan kohtaaminen sairaalan ulkopuolisessa ensihoidossa : Kyselytutkimus Helsingin pelastuslaitoksen ensihoito- ja sairaankuljetushenkilöstölle;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2010121618519;Kysely;Määrällinen;Digium;1;Suomi;Ensihoito;Helsingin pelastuslaitoksen ensihoito;;58;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);0
6;van der Velden ym. 2016;2016;Predictors of workplace violence among ambulance personnel: a longitudinal study;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1002/nop2.38;Kysely;Määrällinen;Pitkittäiskysely, ensimmäinen ja toinen 6 kk:n jälkeen;1;Alankomaat;Ensihoito;Hollantilaiset ambulanssityöntekijät;;"213; 103";Harkinnanvarainen otanta (convenience sample);Sähköpostitse;"Kyllä; ei tietoa määrästä"
6;van Reemst & Fischer 2019;2019;Experiencing External Workplace Violence: Differences in Indicators Between Three Types of Emergency Responders;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1177/0886260516657913;Kysely;Määrällinen;;1;Alankomaat;"Pelastusala; Ensihoito; Poliisi";Hollantilaiset ensihoitajat, pelastajat ja poliisit;;815;Muu;Sähköpostitse;Ei tietoa
6;van Reemst & Jongerling 2021;2021;Measuring and Modeling Exposure to External Workplace Aggression in Three Types of Emergency Responders;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1177/0886260519847780;Kysely;Määrällinen;;1;Alankomaat;"Pelastusala; Ensihoito; Poliisi";Hollantilaiset ensihoitajat, pelastajat ja poliisit;;1610;Muu;Sähköpostitse;Ei tietoa
6;Viking ym. 2022;2022;Experiences of exposure to workplace violence among ambulance personnel;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1016/j.ienj.2022.101220;Haastattelu;Laadullinen;;0;Ruotsi;Ensihoito;Ruotsalaiset ambulanssityöntekijät;;15;Harkinnanvarainen otanta (convenience sample);Postitse;Ei tietoa
2;Virta 2020;2020;Itä-Uudenmaan pelastuslaitoksen työhyvinvointikyselyn analysointi;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-202004225576;Kysely;Määrällinen;Webropol;0;Suomi;"Pelastusala; Ensihoito";Itä-Uudenmaan pelastusala ja ensihoito;;104;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;0
